movie_name,release_year,runtime,genre,rating,director,cast_1,cast_2,cast_3,cast_4,votes,gross
The Martian,(2015),144 min,"
Adventure, Drama, Sci-Fi            ","

8.0
",Ridley Scott,Matt Damon,Jessica Chastain,Kristen Wiig,Kate Mara,"895,229",$228.43M
The Matrix,(1999),136 min,"
Action, Sci-Fi            ","

8.7
",Lana Wachowski,Lilly Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,"1,992,162",$171.48M
The Message,(1976),177 min,"
Biography, Drama, History            ","

8.1
",Moustapha Akkad,Anthony Quinn,Irene Papas,Michael Ansara,Johnny Sekka,"49,676",NaN
The Mitchells vs the Machines,(2021),114 min,"
Animation, Adventure, Comedy            ","

7.6
",Michael Rianda,Jeff Rowe,Abbi Jacobson,Danny McBride,Maya Rudolph,"120,766",NaN
The Muppet Christmas Carol,(1992),85 min,"
Comedy, Drama, Family            ","

7.7
",Brian Henson,Michael Caine,Dave Goelz,Steve Whitmire,Jerry Nelson,"64,843",$27.28M
The Night of the Hunter,(1955),92 min,"
Crime, Drama, Film-Noir            ","

8.0
",Charles Laughton,Robert Mitchum,Shelley Winters,Lillian Gish,James Gleason,"94,307",$0.65M
The Nightmare Before Christmas,(1993),76 min,"
Animation, Family, Fantasy            ","

7.9
",Henry Selick,Danny Elfman,Chris Sarandon,Catherine O'Hara,William Hickey,"357,300",$75.08M
The Notebook,(2004),123 min,"
Drama, Romance            ","

7.8
",Nick Cassavetes,Gena Rowlands,James Garner,Rachel McAdams,Ryan Gosling,"599,152",$81.00M
The Others,(2001),101 min,"
Horror, Mystery, Thriller            ","

7.6
",Alejandro Amenábar,Nicole Kidman,Christopher Eccleston,Fionnula Flanagan,Alakina Mann,"382,223",$96.52M
The Outlaw Josey Wales,(1976),135 min,"
Western            ","

7.8
",Clint Eastwood,Clint Eastwood,Sondra Locke,Chief Dan George,Bill McKinney,"77,834",$31.80M
The Perks of Being a Wallflower,(2012),103 min,"
Drama            ","

7.9
",Stephen Chbosky,Logan Lerman,Emma Watson,Ezra Miller,Paul Rudd,"535,032",$17.74M
The Philadelphia Story,(1940),112 min,"
Comedy, Romance            ","

7.9
",George Cukor,Cary Grant,Katharine Hepburn,James Stewart,Ruth Hussey,"72,275",NaN
The Pianist,(2002),150 min,"
Biography, Drama, Music            ","

8.5
",Roman Polanski,Adrien Brody,Thomas Kretschmann,Frank Finlay,Emilia Fox,"878,706",$32.57M
The Prestige,(2006),130 min,"
Drama, Mystery, Sci-Fi            ","

8.5
",Christopher Nolan,Christian Bale,Hugh Jackman,Scarlett Johansson,Michael Caine,"1,397,790",$53.09M
The Princess Bride,(1987),98 min,"
Adventure, Comedy, Family            ","

8.0
",Rob Reiner,Cary Elwes,Mandy Patinkin,Robin Wright,Chris Sarandon,"440,997",$30.86M
The Purple Rose of Cairo,(1985),82 min,"
Comedy, Fantasy, Romance            ","

7.7
",Woody Allen,Mia Farrow,Jeff Daniels,Danny Aiello,Irving Metzman,"53,705",$10.63M
The Pursuit of Happyness,(2006),117 min,"
Biography, Drama            ","

8.0
",Gabriele Muccino,Will Smith,Thandiwe Newton,Jaden Smith,Brian Howe,"542,732",$163.57M
The Quiet Man,(1952),129 min,"
Comedy, Drama, Romance            ","

7.7
",John Ford,John Wayne,Maureen O'Hara,Barry Fitzgerald,Ward Bond,"41,066",$10.55M
The Red Shoes,(1948),135 min,"
Drama, Music, Romance            ","

8.1
",Michael Powell,Emeric Pressburger,Anton Walbrook,Marius Goring,Moira Shearer,"37,618",$10.90M
The Remains of the Day,(1993),134 min,"
Drama, Romance            ","

7.8
",James Ivory,Anthony Hopkins,Emma Thompson,John Haycraft,Christopher Reeve,"80,606",$22.95M
The Revenant,(I) (2015),156 min,"
Action, Adventure, Drama            ","

8.0
",Alejandro G. Iñárritu,Leonardo DiCaprio,Tom Hardy,Will Poulter,Domhnall Gleeson,"844,757",$183.64M
The Right Stuff,(1983),193 min,"
Adventure, Biography, Drama            ","

7.8
",Philip Kaufman,Sam Shepard,Scott Glenn,Ed Harris,Dennis Quaid,"64,068",$21.50M
The Royal Tenenbaums,(2001),110 min,"
Comedy, Drama            ","

7.6
",Wes Anderson,Gene Hackman,Gwyneth Paltrow,Anjelica Huston,Ben Stiller,"306,561",$52.36M
The Sandlot,(1993),101 min,"
Comedy, Drama, Family            ","

7.8
",David Mickey Evans,Tom Guiry,Mike Vitar,Art LaFleur,Patrick Renna,"99,045",$32.42M
The Searchers,(1956),119 min,"
Adventure, Drama, Western            ","

7.8
",John Ford,John Wayne,Jeffrey Hunter,Vera Miles,Ward Bond,"93,998",NaN
The Shawshank Redemption,(1994),142 min,"
Drama            ","

9.3
",Frank Darabont,Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,"2,801,807",$28.34M
The Shining,(1980),146 min,"
Drama, Horror            ","

8.4
",Stanley Kubrick,Jack Nicholson,Shelley Duvall,Danny Lloyd,Scatman Crothers,"1,070,478",$44.02M
The Shop Around the Corner,(1940),99 min,"
Comedy, Drama, Romance            ","

8.0
",Ernst Lubitsch,Margaret Sullavan,James Stewart,Frank Morgan,Joseph Schildkraut,"36,068",$0.20M
The Silence of the Lambs,(1991),118 min,"
Crime, Drama, Thriller            ","

8.6
",Jonathan Demme,Jodie Foster,Anthony Hopkins,Lawrence A. Bonney,Kasi Lemmons,"1,495,267",$130.74M
The Sixth Sense,(1999),107 min,"
Drama, Mystery, Thriller            ","

8.2
",M. Night Shyamalan,Bruce Willis,Haley Joel Osment,Toni Collette,Olivia Williams,"1,025,033",$293.51M
The Social Network,(2010),120 min,"
Biography, Drama            ","

7.8
",David Fincher,Jesse Eisenberg,Andrew Garfield,Justin Timberlake,Rooney Mara,"736,422",$96.96M
The Sound of Music,(1965),172 min,"
Biography, Drama, Family            ","

8.1
",Robert Wise,Julie Andrews,Christopher Plummer,Eleanor Parker,Richard Haydn,"249,531",$163.21M
The Sting,(1973),129 min,"
Comedy, Crime, Drama            ","

8.3
",George Roy Hill,Paul Newman,Robert Redford,Robert Shaw,Charles Durning,"273,016",$159.60M
The Straight Story,(1999),112 min,"
Biography, Drama            ","

8.0
",David Lynch,Richard Farnsworth,Sissy Spacek,Jane Galloway Heitz,Joseph A. Carpenter,"94,765",$6.20M
The Taking of Pelham One Two Three,(1974),104 min,"
Action, Crime, Thriller            ","

7.6
",Joseph Sargent,Walter Matthau,Robert Shaw,Martin Balsam,Hector Elizondo,"33,654",$2.49M
The Ten Commandments,(1956),220 min,"
Adventure, Drama, Family            ","

7.9
",Cecil B. DeMille,Charlton Heston,Yul Brynner,Anne Baxter,Edward G. Robinson,"75,108",$93.74M
The Terminator,(1984),107 min,"
Action, Sci-Fi            ","

8.1
",James Cameron,Arnold Schwarzenegger,Linda Hamilton,Michael Biehn,Paul Winfield,"900,691",$38.40M
The Theory of Everything,(2014),123 min,"
Biography, Drama, Romance            ","

7.7
",James Marsh,Eddie Redmayne,Felicity Jones,Tom Prior,Sophie Perry,"470,841",$35.89M
The Thin Man,(1934),91 min,"
Comedy, Crime, Mystery            ","

7.9
",W.S. Van Dyke,William Powell,Myrna Loy,Maureen O'Sullivan,Nat Pendleton,"31,713",NaN
The Thin Red Line,(1998),170 min,"
Drama, History, War            ","

7.6
",Terrence Malick,Jim Caviezel,Sean Penn,Nick Nolte,Kirk Acevedo,"195,477",$36.40M
The Thing,(1982),109 min,"
Horror, Mystery, Sci-Fi            ","

8.2
",John Carpenter,Kurt Russell,Wilford Brimley,Keith David,Richard Masur,"447,811",$13.78M
The Third Man,(1949),104 min,"
Film-Noir, Mystery, Thriller            ","

8.1
",Carol Reed,Orson Welles,Joseph Cotten,Alida Valli,Trevor Howard,"177,818",$0.45M
The Treasure of the Sierra Madre,(1947),126 min,"
Adventure, Drama, Western            ","

8.2
",John Huston,Humphrey Bogart,Walter Huston,Tim Holt,Bruce Bennett,"129,787",$5.01M
The Trial of the Chicago 7,(2020),129 min,"
Drama, History, Thriller            ","

7.7
",Aaron Sorkin,Eddie Redmayne,Alex Sharp,Sacha Baron Cohen,Jeremy Strong,"187,773",NaN
The Truman Show,(1998),103 min,"
Comedy, Drama            ","

8.2
",Peter Weir,Jim Carrey,Ed Harris,Laura Linney,Noah Emmerich,"1,147,413",$125.62M
The Untouchables,(1987),119 min,"
Crime, Drama, Thriller            ","

7.8
",Brian De Palma,Kevin Costner,Sean Connery,Robert De Niro,Charles Martin Smith,"323,288",$76.27M
The Usual Suspects,(1995),106 min,"
Crime, Drama, Mystery            ","

8.5
",Bryan Singer,Kevin Spacey,Gabriel Byrne,Chazz Palminteri,Stephen Baldwin,"1,119,615",$23.34M
The Verdict,(1982),129 min,"
Drama            ","

7.7
",Sidney Lumet,Paul Newman,Charlotte Rampling,Jack Warden,James Mason,"44,202",$54.00M
The Whale,(2022),117 min,"
Drama            ","

7.7
",Darren Aronofsky,Brendan Fraser,Sadie Sink,Ty Simpkins,Hong Chau,"179,687",NaN
The Wild Bunch,(1969),145 min,"
Action, Adventure, Drama            ","

7.9
",Sam Peckinpah,William Holden,Ernest Borgnine,Robert Ryan,Edmond O'Brien,"88,564",$12.06M
The Wizard of Oz,(1939),102 min,"
Adventure, Family, Fantasy            ","

8.1
",Victor Fleming,George Cukor,Mervyn LeRoy,Norman Taurog,Richard Thorpe,"416,942",$2.08M
The Wolf of Wall Street,(2013),180 min,"
Biography, Comedy, Crime            ","

8.2
",Martin Scorsese,Leonardo DiCaprio,Jonah Hill,Margot Robbie,Matthew McConaughey,"1,510,114",$116.90M
The World's Fastest Indian,(2005),127 min,"
Biography, Drama, Sport            ","

7.8
",Roger Donaldson,Anthony Hopkins,Diane Ladd,Iain Rea,Tessa Mitchell,"57,135",$5.13M
The Wrestler,(2008),109 min,"
Drama, Sport            ","

7.9
",Darren Aronofsky,Mickey Rourke,Marisa Tomei,Evan Rachel Wood,Mark Margolis,"315,443",$26.24M
There Will Be Blood,(2007),158 min,"
Drama            ","

8.2
",Paul Thomas Anderson,Daniel Day-Lewis,Paul Dano,Ciarán Hinds,Martin Stringer,"619,434",$40.22M
Thirteen Lives,(2022),147 min,"
Action, Adventure, Biography            ","

7.8
",Ron Howard,Viggo Mortensen,Colin Farrell,Joel Edgerton,Tom Bateman,"63,775",NaN
This Is England,(2006),101 min,"
Crime, Drama            ","

7.7
",Shane Meadows,Thomas Turgoose,Stephen Graham,Jo Hartley,Andrew Shim,"126,405",$0.33M
This Is Spinal Tap,(1984),82 min,"
Comedy, Music            ","

7.9
",Rob Reiner,Rob Reiner,Michael McKean,Christopher Guest,Kimberly Stringer,"144,240",$4.74M
Thor: Ragnarok,(2017),130 min,"
Action, Adventure, Comedy            ","

7.9
",Taika Waititi,Chris Hemsworth,Tom Hiddleston,Cate Blanchett,Mark Ruffalo,"792,682",$315.06M
"Three Billboards Outside Ebbing, Missouri",(2017),115 min,"
Comedy, Crime, Drama            ","

8.1
",Martin McDonagh,Frances McDormand,Woody Harrelson,Sam Rockwell,Caleb Landry Jones,"536,574",$54.51M
Titanic,(1997),194 min,"
Drama, Romance            ","

7.9
",James Cameron,Leonardo DiCaprio,Kate Winslet,Billy Zane,Kathy Bates,"1,247,586",$659.33M
To Be or Not to Be,(1942),99 min,"
Comedy, Romance, War            ","

8.2
",Ernst Lubitsch,Carole Lombard,Jack Benny,Robert Stack,Felix Bressart,"40,920",#231
To Have and Have Not,(1944),100 min,"
Adventure, Comedy, Film-Noir            ","

7.8
",Howard Hawks,Humphrey Bogart,Lauren Bacall,Walter Brennan,Dolores Moran,"37,148",NaN
To Kill a Mockingbird,(1962),129 min,"
Crime, Drama            ","

8.3
",Robert Mulligan,Gregory Peck,John Megna,Frank Overton,Rosemary Murphy,"326,354",#113
Todo sobre mi madre,(1999),101 min,"
Comedy, Drama, Romance            ","

7.8
",Pedro Almodóvar,Cecilia Roth,Marisa Paredes,Candela Peña,Antonia San Juan,"100,821",$8.26M
Togo,(2019),113 min,"
Adventure, Biography, Drama            ","

7.9
",Ericson Core,Willem Dafoe,Julianne Nicholson,Christopher Heyerdahl,Richard Dormer,"53,163",NaN
Toki o kakeru shôjo,(2006),98 min,"
Animation, Adventure, Comedy            ","

7.7
",Mamoru Hosoda,Riisa Naka,Takuya Ishida,Mitsutaka Itakura,Ayami Kakiuchi,"69,280",NaN
Tombstone,(1993),130 min,"
Biography, Drama, History            ","

7.8
",George P. Cosmatos,Kevin Jarre,Kurt Russell,Val Kilmer,Sam Elliott,"159,787",$56.51M
Tonari no Totoro,(1988),86 min,"
Animation, Comedy, Family            ","

8.1
",Hayao Miyazaki,Hitoshi Takagi,Noriko Hidaka,Chika Sakamoto,Shigesato Itoi,"362,002",$1.11M
Top Gun: Maverick,(2022),130 min,"
Action, Drama            ","

8.3
",Joseph Kosinski,Tom Cruise,Jennifer Connelly,Miles Teller,Val Kilmer,"631,547",$718.73M
Touch of Evil,(1958),95 min,"
Crime, Drama, Film-Noir            ","

8.0
",Orson Welles,Charlton Heston,Orson Welles,Janet Leigh,Joseph Calleia,"107,871",$2.24M
Toy Story,(1995),81 min,"
Animation, Adventure, Comedy            ","

8.3
",John Lasseter,Tom Hanks,Tim Allen,Don Rickles,Jim Varney,"1,038,121",$191.80M
Toy Story 2,(1999),92 min,"
Animation, Adventure, Comedy            ","

7.9
",John Lasseter,Ash Brannon,Lee Unkrich,Tom Hanks,Tim Allen,"604,931",$245.85M
Toy Story 3,(2010),103 min,"
Animation, Adventure, Comedy            ","

8.3
",Lee Unkrich,Tom Hanks,Tim Allen,Joan Cusack,Ned Beatty,"870,186",$415.00M
Toy Story 4,(2019),100 min,"
Animation, Adventure, Comedy            ","

7.7
",Josh Cooley,Tom Hanks,Tim Allen,Annie Potts,Tony Hale,"269,141",$434.04M
Training Day,(2001),122 min,"
Action, Crime, Drama            ","

7.7
",Antoine Fuqua,Denzel Washington,Ethan Hawke,Scott Glenn,Tom Berenger,"458,321",$76.63M
Trainspotting,(1996),93 min,"
Drama            ","

8.1
",Danny Boyle,Ewan McGregor,Ewen Bremner,Jonny Lee Miller,Kevin McKidd,"709,976",$16.50M
Trois couleurs: Bleu,(1993),94 min,"
Drama, Music, Mystery            ","

7.9
",Krzysztof Kieslowski,Juliette Binoche,Zbigniew Zamachowski,Julie Delpy,Benoît Régent,"107,726",$1.32M
Trois couleurs: Rouge,(1994),99 min,"
Drama, Mystery, Romance            ","

8.1
",Krzysztof Kieslowski,Irène Jacob,Jean-Louis Trintignant,Frédérique Feder,Jean-Pierre Lorit,"107,671",$4.04M
Tropa de Elite,(2007),115 min,"
Action, Crime, Drama            ","

8.0
",José Padilha,Wagner Moura,André Ramiro,Caio Junqueira,Milhem Cortaz,"107,906",$0.01M
Tropa de Elite 2: O Inimigo Agora é Outro,(2010),115 min,"
Action, Crime, Drama            ","

8.0
",José Padilha,Wagner Moura,Irandhir Santos,André Ramiro,Milhem Cortaz,"85,424",$0.10M
True Grit,(2010),110 min,"
Drama, Western            ","

7.6
",Ethan Coen,Joel Coen,Jeff Bridges,Matt Damon,Hailee Steinfeld,"351,095",$171.24M
True Romance,(1993),119 min,"
Crime, Drama, Romance            ","

7.9
",Tony Scott,Christian Slater,Patricia Arquette,Dennis Hopper,Val Kilmer,"236,707",$12.28M
Sanjuro,(1962),96 min,"
Action, Drama, Thriller            ","

8.0
",Akira Kurosawa,Toshirô Mifune,Tatsuya Nakadai,Keiju Kobayashi,Yûnosuke Itô,"40,089",NaN
Tumbbad,(2018),104 min,"
Drama, Fantasy, Horror            ","

8.2
",Rahi Anil Barve,Anand Gandhi,Adesh Prasad,Sohum Shah,Jyoti Malshe,"55,283",NaN
Twelve Monkeys,(1995),129 min,"
Mystery, Sci-Fi, Thriller            ","

8.0
",Terry Gilliam,Bruce Willis,Madeleine Stowe,Brad Pitt,Joseph Melito,"635,482",$57.14M
Tôkyô goddofâzâzu,(2003),92 min,"
Animation, Adventure, Comedy            ","

7.8
",Satoshi Kon,Tôru Emori,Yoshiaki Umegaki,Aya Okamoto,Shôzô Îzuka,"44,104",$0.13M
Tôkyô monogatari,(1953),136 min,"
Drama            ","

8.1
",Yasujirô Ozu,Chishû Ryû,Chieko Higashiyama,Sô Yamamura,Setsuko Hara,"65,825",#210
Udaan,(2010),134 min,"
Drama            ","

8.1
",Vikramaditya Motwane,Rajat Barmecha,Ronit Roy,Manjot Singh,Ram Kapoor,"46,304",$0.01M
Umberto D.,(1952),89 min,"
Drama            ","

8.2
",Vittorio De Sica,Carlo Battisti,Maria Pia Casilio,Lina Gennari,Ileana Simova,"27,344",$0.07M
Un long dimanche de fiançailles,(2004),133 min,"
Drama, Mystery, Romance            ","

7.6
",Jean-Pierre Jeunet,Audrey Tautou,Gaspard Ulliel,Jodie Foster,Dominique Pinon,"75,205",$6.17M
Un prophète,(2009),155 min,"
Crime, Drama            ","

7.8
",Jacques Audiard,Tahar Rahim,Niels Arestrup,Adel Bencherif,Reda Kateb,"100,903",$2.08M
Under sandet,(2015),100 min,"
Drama, History, War            ","

7.8
",Martin Zandvliet,Roland Møller,Louis Hofmann,Joel Basman,Mikkel Boe Følsgaard,"44,207",$0.44M
Underground,(1995),170 min,"
Comedy, Drama, Fantasy            ","

8.1
",Emir Kusturica,Predrag 'Miki' Manojlovic,Lazar Ristovski,Mirjana Jokovic,Slavko Stimac,"60,134",$0.17M
Unforgiven,(1992),130 min,"
Drama, Western            ","

8.2
",Clint Eastwood,Clint Eastwood,Gene Hackman,Morgan Freeman,Richard Harris,"426,579",$101.16M
United 93,(2006),111 min,"
Action, Drama, History            ","

7.6
",Paul Greengrass,David Alan Basche,Olivia Thirlby,Liza Colón-Zayas,J.J. Johnson,"109,543",$31.57M
Up,(2009),96 min,"
Animation, Adventure, Comedy            ","

8.3
",Pete Docter,Bob Peterson,Edward Asner,Jordan Nagai,John Ratzenberger,"1,091,228",$293.00M
Uri: The Surgical Strike,(2019),138 min,"
Action, Drama, History            ","

8.2
",Aditya Dhar,Vicky Kaushal,Paresh Rawal,Mohit Raina,Yami Gautam,"69,184",$4.19M
V for Vendetta,(2005),132 min,"
Action, Drama, Sci-Fi            ","

8.2
",James McTeigue,Hugo Weaving,Natalie Portman,Rupert Graves,Stephen Rea,"1,154,906",$70.51M
Veer-Zaara,(2004),192 min,"
Drama, Family, Musical            ","

7.8
",Yash Chopra,Shah Rukh Khan,Preity G Zinta,Rani Mukerji,Kirron Kher,"55,744",$2.92M
Verdens verste menneske,(2021),128 min,"
Comedy, Drama, Romance            ","

7.8
",Joachim Trier,Renate Reinsve,Anders Danielsen Lie,Herbert Nordrum,Hans Olav Brenner,"86,341",NaN
Vertigo,(1958),128 min,"
Mystery, Romance, Thriller            ","

8.3
",Alfred Hitchcock,James Stewart,Kim Novak,Barbara Bel Geddes,Tom Helmore,"416,838",$3.20M
Vicky Donor,(2012),126 min,"
Comedy, Romance            ","

7.8
",Shoojit Sircar,Ayushmann Khurrana,Yami Gautam,Annu Kapoor,Dolly Ahluwalia,"44,756",$0.17M
Vikram,(2022),175 min,"
Action, Crime, Thriller            ","

8.3
",Lokesh Kanagaraj,Kamal Haasan,Vijay Sethupathi,Fahadh Faasil,Narain,"66,879",NaN
Vikram Vedha,(2017),147 min,"
Action, Crime, Drama            ","

8.2
",Gayatri,Pushkar,Gowtham Selvaraj,Madhavan,Vijay Sethupathi,"48,896",NaN
Viridiana,(1961),91 min,"
Drama            ","

8.1
",Luis Buñuel,Silvia Pinal,Francisco Rabal,Fernando Rey,José Calvo,"25,552",NaN
Viskningar och rop,(1972),91 min,"
Drama            ","

8.0
",Ingmar Bergman,Harriet Andersson,Liv Ullmann,Kari Sylwan,Ingrid Thulin,"36,032",$1.74M
Vivre sa vie: Film en douze tableaux,(1962),80 min,"
Drama            ","

7.8
",Jean-Luc Godard,Anna Karina,Sady Rebbot,André S. Labarthe,Guylaine Schlumberger,"34,069",NaN
Vizontele,(2001),110 min,"
Comedy, Drama            ","

8.0
",Yilmaz Erdogan,Ömer Faruk Sorak,Yilmaz Erdogan,Demet Akbag,Altan Erkekli,"38,018",NaN
Vozvrashchenie,(2003),110 min,"
Drama            ","

7.9
",Andrey Zvyagintsev,Vladimir Garin,Ivan Dobronravov,Konstantin Lavronenko,Nataliya Vdovina,"46,708",$0.50M
WALL·E,(2008),98 min,"
Animation, Adventure, Family            ","

8.4
",Andrew Stanton,Ben Burtt,Elissa Knight,Jeff Garlin,Fred Willard,"1,165,058",$223.81M
Wait Until Dark,(1967),108 min,"
Thriller            ","

7.7
",Terence Young,Audrey Hepburn,Alan Arkin,Richard Crenna,Efrem Zimbalist Jr.,"32,658",$17.55M
Waking Life,(2001),99 min,"
Animation, Drama, Fantasy            ","

7.7
",Richard Linklater,Ethan Hawke,Trevor Jack Brooks,Lorelei Linklater,Wiley Wiggins,"66,072",$2.89M
Walk the Line,(2005),136 min,"
Biography, Drama, Music            ","

7.8
",James Mangold,Joaquin Phoenix,Reese Witherspoon,Ginnifer Goodwin,Robert Patrick,"260,499",$119.52M
Warrior,(2011),140 min,"
Action, Drama, Sport            ","

8.1
",Gavin O'Connor,Tom Hardy,Nick Nolte,Joel Edgerton,Jennifer Morrison,"487,806",$13.66M
Watchmen,(2009),162 min,"
Action, Drama, Mystery            ","

7.6
",Zack Snyder,Jackie Earle Haley,Patrick Wilson,Carla Gugino,Malin Akerman,"570,000",$107.51M
What Ever Happened to Baby Jane?,(1962),134 min,"
Drama, Horror, Thriller            ","

8.0
",Robert Aldrich,Bette Davis,Joan Crawford,Victor Buono,Wesley Addy,"59,839",$4.05M
What We Do in the Shadows,(2014),86 min,"
Comedy, Horror            ","

7.6
",Jemaine Clement,Taika Waititi,Jemaine Clement,Taika Waititi,Cori Gonzalez-Macuer,"193,783",$3.33M
What's Eating Gilbert Grape,(1993),118 min,"
Drama            ","

7.7
",Lasse Hallström,Johnny Depp,Leonardo DiCaprio,Juliette Lewis,Mary Steenburgen,"247,879",$9.17M
When Harry Met Sally...,(1989),95 min,"
Comedy, Drama, Romance            ","

7.7
",Rob Reiner,Billy Crystal,Meg Ryan,Carrie Fisher,Bruno Kirby,"232,848",$92.82M
Whiplash,(2014),106 min,"
Drama, Music            ","

8.5
",Damien Chazelle,Miles Teller,J.K. Simmons,Melissa Benoist,Paul Reiser,"933,262",$13.09M
White Heat,(1949),114 min,"
Action, Crime, Drama            ","

8.1
",Raoul Walsh,James Cagney,Virginia Mayo,Edmond O'Brien,Margaret Wycherly,"34,824",NaN
Who Framed Roger Rabbit,(1988),104 min,"
Animation, Adventure, Comedy            ","

7.7
",Robert Zemeckis,Bob Hoskins,Christopher Lloyd,Joanna Cassidy,Charles Fleischer,"211,248",$156.45M
Who's Afraid of Virginia Woolf?,(1966),131 min,"
Drama            ","

8.0
",Mike Nichols,Elizabeth Taylor,Richard Burton,George Segal,Sandy Dennis,"78,388",NaN
Willy Wonka & the Chocolate Factory,(1971),100 min,"
Family, Fantasy, Musical            ","

7.8
",Mel Stuart,Gene Wilder,Jack Albertson,Peter Ostrum,Roy Kinnear,"213,918",$4.00M
Wind River,(2017),107 min,"
Crime, Drama, Mystery            ","

7.7
",Taylor Sheridan,Elizabeth Olsen,Jeremy Renner,Graham Greene,Kelsey Asbille,"268,506",$33.80M
Witness for the Prosecution,(1957),116 min,"
Crime, Drama, Mystery            ","

8.4
",Billy Wilder,Tyrone Power,Marlene Dietrich,Charles Laughton,Elsa Lanchester,"132,575",$8.18M
Wo hu cang long,(2000),120 min,"
Action, Adventure, Drama            ","

7.9
",Ang Lee,Chow Yun-Fat,Michelle Yeoh,Ziyi Zhang,Chang Chen,"277,692",$128.08M
WolfWalkers,(2020),103 min,"
Animation, Action, Adventure            ","

8.0
",Tomm Moore,Ross Stewart,Honor Kneafsey,Eva Whittaker,Sean Bean,"36,563",NaN
Wonder,(I) (2017),113 min,"
Drama, Family            ","

7.9
",Stephen Chbosky,Jacob Tremblay,Owen Wilson,Izabela Vidovic,Julia Roberts,"173,286",$132.42M
Wreck-It Ralph,(2012),101 min,"
Animation, Adventure, Comedy            ","

7.7
",Rich Moore,John C. Reilly,Jack McBrayer,Jane Lynch,Sarah Silverman,"445,267",$189.42M
X-Men: Days of Future Past,(2014),132 min,"
Action, Adventure, Sci-Fi            ","

7.9
",Bryan Singer,Patrick Stewart,Ian McKellen,Hugh Jackman,James McAvoy,"732,492",$233.92M
X: First Class,(2011),131 min,"
Action, Sci-Fi            ","

7.7
",Matthew Vaughn,James McAvoy,Michael Fassbender,Jennifer Lawrence,Kevin Bacon,"711,712",$146.41M
Y tu mamá también,(2001),106 min,"
Drama            ","

7.7
",Alfonso Cuarón,Maribel Verdú,Gael García Bernal,Daniel Giménez Cacho,Ana López Mercado,"127,014",$13.62M
Miracle in Cell No. 7,(2019),132 min,"
Drama            ","

8.2
",Mehmet Ada Öztekin,Aras Bulut Iynemli,Nisa Sofiya Aksongur,Deniz Baysal,Celile Toyon Uysal,"53,146",NaN
Yeopgijeogin geunyeo,(2001),137 min,"
Comedy, Drama, Romance            ","

8.0
",Jae-young Kwak,Tae-Hyun Cha,Jun Ji-hyun,In-mun Kim,Song Wok-suk,"49,736",NaN
Yi yi,(2000),173 min,"
Drama, Romance            ","

8.1
",Edward Yang,Nien-Jen Wu,Elaine Jin,Issei Ogata,Kelly Lee,"27,096",$1.14M
Ying xiong,(2002),120 min,"
Action, Adventure, Drama            ","

7.9
",Yimou Zhang,Jet Li,Tony Leung Chiu-wai,Maggie Cheung,Ziyi Zhang,"185,588",$53.71M
You Can't Take It with You,(1938),126 min,"
Comedy, Drama, Romance            ","

7.8
",Frank Capra,Jean Arthur,James Stewart,Lionel Barrymore,Edward Arnold,"27,100",$4.66M
Young Frankenstein,(1974),106 min,"
Comedy            ","

8.0
",Mel Brooks,Gene Wilder,Madeline Kahn,Marty Feldman,Peter Boyle,"164,970",$86.30M
Yume,(1990),119 min,"
Drama, Fantasy            ","

7.7
",Akira Kurosawa,Ishirô Honda,Akira Terao,Mitsuko Baishô,Toshie Negishi,"28,120",$1.96M
Yôjinbô,(1961),110 min,"
Action, Drama, Thriller            ","

8.2
",Akira Kurosawa,Toshirô Mifune,Eijirô Tôno,Tatsuya Nakadai,Yôko Tsukasa,"127,998",#148
Z,(1969),127 min,"
Crime, Drama, Thriller            ","

8.2
",Costa-Gavras,Yves Montand,Irene Papas,Jean-Louis Trintignant,François Périer,"30,543",$0.08M
Zack Snyder's Justice League,(2021),242 min,"
Action, Adventure, Fantasy            ","

7.9
",Zack Snyder,Henry Cavill,Ben Affleck,Gal Gadot,Amy Adams,"424,433",NaN
Zelig,(1983),79 min,"
Comedy            ","

7.7
",Woody Allen,Woody Allen,Mia Farrow,Patrick Horgan,John Buckwalter,"43,408",$11.80M
Zerkalo,(1975),107 min,"
Biography, Drama            ","

8.0
",Andrei Tarkovsky,Margarita Terekhova,Filipp Yankovskiy,Ignat Daniltsev,Oleg Yankovskiy,"50,282",$0.18M
Zindagi Na Milegi Dobara,(2011),155 min,"
Comedy, Drama, Musical            ","

8.2
",Zoya Akhtar,Hrithik Roshan,Farhan Akhtar,Abhay Deol,Katrina Kaif,"83,175",$3.11M
Zodiac,(2007),157 min,"
Crime, Drama, Mystery            ","

7.7
",David Fincher,Jake Gyllenhaal,Robert Downey Jr.,Mark Ruffalo,Anthony Edwards,"575,848",$33.08M
Zootopia,(2016),108 min,"
Animation, Adventure, Comedy            ","

8.0
",Byron Howard,Rich Moore,Jared Bush,Ginnifer Goodwin,Jason Bateman,"527,314",$341.27M
Zulu,(1964),138 min,"
Drama, History, War            ","

7.7
",Cy Endfield,Stanley Baker,Jack Hawkins,Ulla Jacobsson,James Booth,"41,508",NaN
